               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.048875,            0.019709,                   0,                   0,                   0,                   0,                   0,            0.048599,            0.016308,                   0,                   0,                   0,                 0.1
                   1,            0.052147,            0.019744,                   0,                   0,                   0,                   0,                   0,            0.048662,            0.017749,                   0,            7.75e-06,            7.75e-06,            0.099908
                   2,            0.048826,            0.020008,                   0,                   0,                   0,                   0,                   0,            0.048695,            0.017938,                   0,             6.5e-06,             6.5e-06,            0.099807
